name,specialty,city,address,phone
Dr. Ahmed Raza,Cardiologist,Islamabad,Blue Area,051-1234567
Dr. Fatima Ali,Dermatologist,Lahore,Gulberg III,042-7654321
Dr. Bilal Khan,Pediatrician,Islamabad,F-10 Markaz,051-9876543
Dr. Ayesha Malik,Cardiologist,Karachi,Clifton,021-1112223
Dr. Usman Baig,Neurologist,Lahore,Johar Town,042-4455667
Dr. Sana Javed,Dermatologist,Islamabad,G-8 Markaz,051-3334445
Dr. Khalid Mehmood,Pediatrician,Rawalpindi,Saddar,051-7778889
Dr. Hina Aslam,Gynecologist,Lahore,Model Town,042-7788990
Dr. Imran Qureshi,Orthopedic Surgeon,Karachi,North Nazimabad,021-5566778
Dr. Rabia Shahid,ENT Specialist,Islamabad,G-9 Markaz,051-6677889
Dr. Tariq Javed,Urologist,Lahore,Allama Iqbal Town,042-2233445
Dr. Zainab Noor,Cardiologist,Peshawar,University Town,091-4455667
Dr. Farhan Saeed,Dentist,Karachi,Bahadurabad,021-8899001
Dr. Shazia Akram,Endocrinologist,Islamabad,I-8 Markaz,051-9900112
Dr. Kamran Ali,Neurologist,Rawalpindi,Commercial Market,051-7788991
Dr. Samina Riaz,Psychiatrist,Lahore,Defense Phase 3,042-3344556
Dr. Haroon Ahmed,Cardiologist,Quetta,Jinnah Road,081-5544332
Dr. Mariam Iqbal,Oncologist,Karachi,Gulshan-e-Iqbal,021-6655443
Dr. Sajid Anwar,Orthopedic Surgeon,Lahore,Johar Town,042-4455778
Dr. Natasha Khan,Gynecologist,Islamabad,F-6 Markaz,051-1122334
Dr. Adnan Hussain,Pulmonologist,Karachi,PECHS,021-3344558
Dr. Adeel Farooq,Dermatologist,Rawalpindi,Satellite Town,051-2233444
Dr. Mehreen Abbas,Pediatrician,Lahore,Faisal Town,042-2211004
Dr. Junaid Malik,Cardiologist,Multan,Shah Rukn-e-Alam,061-6677889
Dr. Hira Nadeem,Endocrinologist,Islamabad,G-11 Markaz,051-7766554
Dr. Salman Tariq,Dentist,Karachi,Defence Phase 5,021-9988776
Dr. Nadia Rauf,Psychiatrist,Lahore,Cantt,042-6677889
Dr. Hamza Waqar,Cardiologist,Faisalabad,D-Ground,041-3344556
Dr. Bushra Imtiaz,Gynecologist,Rawalpindi,Peshawar Road,051-5566772
Dr. Talha Jameel,ENT Specialist,Islamabad,G-10 Markaz,051-9988775
Dr. Lubna Qaiser,Orthopedic Surgeon,Lahore,Garden Town,042-5566889
Dr. Yasir Mehmood,Urologist,Karachi,Saddar,021-4455661
Dr. Amna Rafiq,Dermatologist,Peshawar,Hayatabad Phase 3,091-7788994
Dr. Irfan Qadir,Pediatrician,Lahore,Bahria Town,042-3332211
Dr. Saima Khurram,Cardiologist,Islamabad,F-7 Markaz,051-9988662
Dr. Omar Khalid,Neurologist,Karachi,Gulistan-e-Johar,021-6677555
Dr. Nida Shabbir,Gynecologist,Lahore,Eden Villas,042-8899777
Dr. Faisal Raza,Endocrinologist,Islamabad,G-13 Markaz,051-7788996
Dr. Ahsan Iqbal,Cardiologist,Rawalpindi,Chandni Chowk,051-2211334
Dr. Kiran Malik,Psychiatrist,Karachi,Clifton Block 5,021-9988554
Dr. Arif Hussain,Dentist,Lahore,Walton Road,042-5566778
Dr. Mahnoor Zafar,Pediatrician,Islamabad,H-8 Markaz,051-4433221
Dr. Zeeshan Haider,Orthopedic Surgeon,Multan,Bosan Road,061-5566778
Dr. Asma Tariq,ENT Specialist,Karachi,North Karachi,021-8877663
Dr. Yousaf Shahid,Neurologist,Lahore,Johar Town,042-6677559
Dr. Nimra Hanif,Gynecologist,Faisalabad,Clock Tower,041-6655447
Dr. Danish Iqbal,Urologist,Islamabad,G-9 Markaz,051-2233447
Dr. Rida Ahmed,Dermatologist,Karachi,Gulshan Block 7,021-5566770
Dr. Waqas Noman,Cardiologist,Lahore,Model Town Extension,042-9988771
Dr. Maryam Zia,Psychiatrist,Rawalpindi,Bahria Town,051-6677882
